T	1.530504e+03	1.441911e+03	1.441911e+03	1.353482e+03	1.353482e+03	1.265674e+03	1.265674e+03	1.177859e+03	1.177859e+03	1.090269e+03	1.090269e+03	1.002723e+03	1.002723e+03	9.155720e+02	9.155720e+02	8.072850e+02	8.266459e+02
T0	1.533000e+03	1.533025e+03	1.533025e+03	1.357913e+03	1.357913e+03	1.357927e+03	1.357927e+03	1.184741e+03	1.184741e+03	1.184749e+03	1.184749e+03	1.013978e+03	1.013978e+03	1.013982e+03	1.013982e+03	8.287553e+02	8.287522e+02
T0rel	1.533000e+03	1.533025e+03	1.444949e+03	1.444971e+03	1.357913e+03	1.357927e+03	1.271061e+03	1.271072e+03	1.184741e+03	1.184749e+03	1.098921e+03	1.098927e+03	1.013978e+03	1.013982e+03	9.298288e+02	9.298315e+02	8.287522e+02
p	1.450037e+03	1.105303e+03	1.105303e+03	8.290126e+02	8.290126e+02	6.154323e+02	6.154323e+02	4.478668e+02	4.478668e+02	3.205791e+02	3.205791e+02	2.240514e+02	2.240514e+02	1.530629e+02	1.530629e+02	9.160871e+01	1.000000e+02
p0	1.460000e+03	1.428479e+03	1.428479e+03	8.402869e+02	8.402869e+02	8.219205e+02	8.219205e+02	4.585491e+02	4.585491e+02	4.477482e+02	4.477482e+02	2.341207e+02	2.341207e+02	2.280809e+02	2.280809e+02	1.012040e+02	1.009725e+02
p0rel	1.460000e+03	1.428479e+03	1.115048e+03	1.087628e+03	8.402869e+02	8.219205e+02	6.262215e+02	6.105648e+02	4.585491e+02	4.477482e+02	3.308629e+02	3.222199e+02	2.341207e+02	2.280809e+02	1.625118e+02	1.574868e+02	1.009725e+02
h	1.719953e+06	1.609511e+06	1.609511e+06	1.500270e+06	1.500270e+06	1.392885e+06	1.392885e+06	1.286688e+06	1.286688e+06	1.182084e+06	1.182084e+06	1.078989e+06	1.078989e+06	9.779503e+05	9.779503e+05	8.548155e+05	8.766264e+05
h0	1.723077e+06	1.723077e+06	1.723077e+06	1.505718e+06	1.505718e+06	1.505718e+06	1.505718e+06	1.294964e+06	1.294964e+06	1.294964e+06	1.294964e+06	1.092156e+06	1.092156e+06	1.092156e+06	1.092156e+06	8.790083e+05	8.790047e+05
h0rel	1.723077e+06	1.723077e+06	1.613282e+06	1.613282e+06	1.505718e+06	1.505718e+06	1.399440e+06	1.399440e+06	1.294964e+06	1.294964e+06	1.192353e+06	1.192353e+06	1.092156e+06	1.092156e+06	9.943641e+05	9.943641e+05	8.790047e+05
d	3.180740e+00	2.575313e+00	2.575313e+00	2.058989e+00	2.058989e+00	1.635368e+00	1.635368e+00	1.279351e+00	1.279351e+00	9.896446e-01	9.896446e-01	7.522493e-01	7.522493e-01	5.629436e-01	5.629436e-01	3.821946e-01	4.074205e-01
s	7.865753e+03	7.872254e+03	7.872254e+03	7.879665e+03	7.879665e+03	7.886239e+03	7.886239e+03	7.893767e+03	7.893767e+03	7.900852e+03	7.900852e+03	7.908716e+03	7.908716e+03	7.916480e+03	7.916480e+03	7.925808e+03	7.926483e+03
Z	1.003573e+00	1.002872e+00	1.002872e+00	1.002275e+00	1.002275e+00	1.001787e+00	1.001787e+00	1.001378e+00	1.001378e+00	1.001047e+00	1.001047e+00	1.000777e+00	1.000777e+00	1.000564e+00	1.000564e+00	1.000363e+00	1.000392e+00
a	7.748958e+02	7.525405e+02	7.525405e+02	7.296976e+02	7.296976e+02	7.064261e+02	7.064261e+02	6.824676e+02	6.824676e+02	6.577876e+02	6.577876e+02	6.322032e+02	6.322032e+02	6.056583e+02	6.056583e+02	5.708354e+02	5.772311e+02
mu	5.480334e-05	5.270868e-05	5.270868e-05	5.057956e-05	5.057956e-05	4.842157e-05	4.842157e-05	4.621257e-05	4.621257e-05	4.395027e-05	4.395027e-05	4.162011e-05	4.162011e-05	3.921981e-05	3.921981e-05	3.610219e-05	3.667195e-05
v	7.904658e+01	4.765844e+02	4.765844e+02	1.043809e+02	1.043809e+02	4.750413e+02	4.750413e+02	1.286541e+02	1.286541e+02	4.751417e+02	4.751417e+02	1.622777e+02	1.622777e+02	4.779235e+02	4.779235e+02	2.199673e+02	6.896897e+01
v_t	0.000000e+00	4.691433e+02	4.691433e+02	2.701500e+01	2.701500e+01	4.619889e+02	4.619889e+02	3.329770e+01	3.329770e+01	4.545298e+02	4.545298e+02	4.200050e+01	4.200050e+01	4.447272e+02	4.447272e+02	1.116692e+01	6.117890e+00
v_m	7.904658e+01	8.388873e+01	8.388873e+01	1.008244e+02	1.008244e+02	1.105913e+02	1.105913e+02	1.242704e+02	1.242704e+02	1.384277e+02	1.384277e+02	1.567482e+02	1.567482e+02	1.750102e+02	1.750102e+02	2.196836e+02	6.869709e+01
w	7.904658e+01	4.765844e+02	8.684799e+01	4.754203e+02	1.043809e+02	4.750413e+02	1.144924e+02	4.748721e+02	1.286541e+02	4.751417e+02	1.433108e+02	4.761604e+02	1.622777e+02	4.779235e+02	1.811839e+02	5.282965e+02	6.896897e+01
w_t	0.000000e+00	4.691433e+02	-2.247788e+01	-4.646061e+02	2.701500e+01	4.619889e+02	-2.963222e+01	-4.583234e+02	3.329770e+01	4.545298e+02	-3.709131e+01	-4.496206e+02	4.200050e+01	4.447272e+02	-4.689392e+01	-4.804542e+02	6.117890e+00
w_m	7.904658e+01	8.388873e+01	8.388873e+01	1.008244e+02	1.008244e+02	1.105913e+02	1.105913e+02	1.242704e+02	1.242704e+02	1.384277e+02	1.384277e+02	1.567482e+02	1.567482e+02	1.750102e+02	1.750102e+02	2.196836e+02	6.869709e+01
u	0.000000e+00	0.000000e+00	4.916211e+02	4.916211e+02	0.000000e+00	0.000000e+00	4.916211e+02	4.916211e+02	0.000000e+00	0.000000e+00	4.916211e+02	4.916211e+02	0.000000e+00	0.000000e+00	4.916211e+02	4.916211e+02	0.000000e+00
alpha	0.000000e+00	1.393854e+00	1.393854e+00	2.617919e-01	2.617919e-01	1.335837e+00	1.335837e+00	2.617959e-01	2.617959e-01	1.275169e+00	1.275169e+00	2.617991e-01	2.617991e-01	1.195886e+00	1.195886e+00	5.078810e-02	8.882170e-02
beta	0.000000e+00	1.393854e+00	-2.617989e-01	-1.357099e+00	2.617919e-01	1.335837e+00	-2.617941e-01	-1.306021e+00	2.617959e-01	1.275169e+00	-2.617976e-01	-1.235349e+00	2.617991e-01	1.195886e+00	-2.617999e-01	-1.141937e+00	8.882170e-02
Ma	1.020093e-01	6.333007e-01	6.333007e-01	1.430468e-01	1.430468e-01	6.724571e-01	6.724571e-01	1.885131e-01	1.885131e-01	7.223330e-01	7.223330e-01	2.566859e-01	2.566859e-01	7.890975e-01	7.890975e-01	3.853428e-01	1.194824e-01
Ma_rel	1.020093e-01	6.333007e-01	1.154064e-01	6.515305e-01	1.430468e-01	6.724571e-01	1.620727e-01	6.958163e-01	1.885131e-01	7.223330e-01	2.178679e-01	7.531762e-01	2.566859e-01	7.890975e-01	2.991520e-01	9.254796e-01	1.194824e-01
A	1.730127e+00	2.013518e+00	2.013518e+00	2.095413e+00	2.095413e+00	2.405209e+00	2.405209e+00	2.736098e+00	2.736098e+00	3.175317e+00	3.175317e+00	3.689138e+00	3.689138e+00	4.415309e+00	4.415309e+00	5.180921e+00	1.794724e+01
H	1.759614e-01	2.047836e-01	2.047836e-01	2.131125e-01	2.131125e-01	2.446202e-01	2.446202e-01	2.782730e-01	2.782730e-01	3.229435e-01	3.229435e-01	3.752014e-01	3.752014e-01	4.490560e-01	4.490560e-01	5.269222e-01	1.030666e+00
r_m	1.564879e+00	1.564879e+00	1.564879e+00	1.564879e+00	1.564879e+00	1.564879e+00	1.564879e+00	1.564879e+00	1.564879e+00	1.564879e+00	1.564879e+00	1.564879e+00	1.564879e+00	1.564879e+00	1.564879e+00	1.564879e+00	2.771403e+00
r_h	1.476898e+00	1.462487e+00	1.462487e+00	1.458322e+00	1.458322e+00	1.442569e+00	1.442569e+00	1.425742e+00	1.425742e+00	1.403407e+00	1.403407e+00	1.377278e+00	1.377278e+00	1.340351e+00	1.340351e+00	1.301418e+00	2.325112e+00
r_t	1.652859e+00	1.667270e+00	1.667270e+00	1.671435e+00	1.671435e+00	1.687189e+00	1.687189e+00	1.704015e+00	1.704015e+00	1.726350e+00	1.726350e+00	1.752479e+00	1.752479e+00	1.789407e+00	1.789407e+00	1.828340e+00	3.217695e+00
