T	8.224949e+02	7.676465e+02	7.676465e+02	7.064681e+02	7.088084e+02
T0	8.231500e+02	8.228698e+02	8.228698e+02	7.095636e+02	7.095595e+02
T0rel	8.231500e+02	8.228698e+02	7.694546e+02	7.691005e+02	7.095595e+02
p	1.973593e+04	1.290756e+04	1.290756e+04	7.755903e+03	7.901161e+03
p0	1.982795e+04	1.933924e+04	1.933924e+04	7.952564e+03	7.949248e+03
p0rel	1.982795e+04	1.933924e+04	1.308467e+04	1.265507e+04	7.949248e+03
h	1.034507e+06	9.731633e+05	9.731633e+05	9.064930e+05	9.090327e+05
h0	1.035254e+06	1.035254e+06	1.035254e+06	9.098473e+05	9.098469e+05
h0rel	1.035254e+06	1.035254e+06	9.751700e+05	9.751700e+05	9.098469e+05
d	1.229289e+02	8.778183e+01	8.778183e+01	5.803946e+01	5.891110e+01
s	2.742890e+03	2.747760e+03	2.747760e+03	2.754156e+03	2.754234e+03
Z	1.033201e+00	1.013895e+00	1.013895e+00	1.001224e+00	1.001566e+00
a	4.561654e+02	4.307207e+02	4.307207e+02	4.068215e+02	4.076579e+02
mu	3.740889e-05	3.492020e-05	3.492020e-05	3.237997e-05	3.247321e-05
v	3.865935e+01	3.523940e+02	3.523940e+02	8.190540e+01	4.035478e+01
v_t	0.000000e+00	3.470404e+02	3.470404e+02	1.982461e+00	1.283617e+00
v_m	3.865935e+01	6.119258e+01	6.119258e+01	8.188140e+01	4.033436e+01
w	3.865935e+01	3.523940e+02	6.335122e+01	3.706128e+02	4.035478e+01
w_t	0.000000e+00	3.470404e+02	-1.639650e+01	-3.614544e+02	1.283617e+00
w_m	3.865935e+01	6.119258e+01	6.119258e+01	8.188140e+01	4.033436e+01
u	0.000000e+00	0.000000e+00	3.634369e+02	3.634369e+02	0.000000e+00
alpha	0.000000e+00	1.396263e+00	1.396263e+00	2.420664e-02	3.181368e-02
beta	0.000000e+00	1.396263e+00	-2.617994e-01	-1.348023e+00	3.181368e-02
Ma	8.474854e-02	8.181497e-01	8.181497e-01	2.013301e-01	9.899176e-02
Ma_rel	8.474854e-02	8.181497e-01	1.470819e-01	9.109961e-01	9.899176e-02
A	6.752445e-01	5.974015e-01	5.974015e-01	6.752445e-01	1.559410e+00
H	2.318065e-01	2.050836e-01	2.050836e-01	2.318065e-01	3.520996e-01
r_m	4.636130e-01	4.636130e-01	4.636130e-01	4.636130e-01	7.048798e-01
r_h	3.477097e-01	3.610712e-01	3.610712e-01	3.477097e-01	5.524163e-01
r_t	5.795162e-01	5.661548e-01	5.661548e-01	5.795162e-01	8.573434e-01
