Independent variables
variable	lower_bound	value	upper_bound	satisfied	active
Ma_rel		1.676995e-01	5.000000e+00	yes	yes	no
Ma_rel		6.848592e-01	5.000000e+00	yes	yes	no
Ma_rel		1.865719e-01	5.000000e+00	yes	yes	no
Ma_rel		7.076515e-01	5.000000e+00	yes	yes	no
Ma_rel		2.185963e-01	5.000000e+00	yes	yes	no
Ma_rel		7.332381e-01	5.000000e+00	yes	yes	no
Ma_rel		2.456141e-01	5.000000e+00	yes	yes	no
Ma_rel		8.319448e-01	5.000000e+00	yes	yes	no
Ma_rel		1.953123e-01	5.000000e+00	yes	yes	no
Ma_diffuser		3.009482e-01	9.500000e-01	yes	yes	no
beta_in_stator		0.000000e+00	2.617994e-01	yes	yes	no
beta_in_stator		2.610226e-01	2.617994e-01	yes	yes	yes
beta_in_stator		2.611100e-01	2.617994e-01	yes	yes	yes
beta_in_stator		2.613054e-01	2.617994e-01	yes	yes	yes
beta_in_rotor	-2.617994e-01	-2.608403e-01		yes	yes	yes
beta_in_rotor	-2.617994e-01	-2.610791e-01		yes	yes	yes
beta_in_rotor	-2.617994e-01	-2.612211e-01		yes	yes	yes
beta_in_rotor	-2.617994e-01	-2.613549e-01		yes	yes	yes
height	1.000000e-02	2.853574e-02		no		
height	1.000000e-02	3.033500e-02		no		
height	1.000000e-02	3.386180e-02		no		
height	1.000000e-02	3.880044e-02		no		
height	1.000000e-02	4.474659e-02		no		
height	1.000000e-02	5.158871e-02		no		
height	1.000000e-02	6.018537e-02		no		
height	1.000000e-02	7.036804e-02		no		
chord	1.000000e-02	1.734966e-02		no		
chord	1.000000e-02	1.517395e-02		no		
chord	1.000000e-02	2.078510e-02		no		
chord	1.000000e-02	1.942502e-02		no		
chord	1.000000e-02	2.835979e-02		no		
chord	1.000000e-02	2.593042e-02		no		
chord	1.000000e-02	4.112670e-02		no		
chord	1.000000e-02	3.721996e-02		no		
RPM	3.000000e+03	1.444224e+04	3.000000e+03	no		


Optimization algorithm output
exitflag	iterations	function_count	con_violation	stepsize
-1	40	1817	1.013226e-04	4.269335e-02

