T	4.281327e+02	3.935646e+02	3.935646e+02	3.861818e+02	3.861818e+02	3.764236e+02	3.764236e+02	3.619812e+02	3.667746e+02
T0	4.281500e+02	4.225202e+02	4.225202e+02	3.873657e+02	3.873657e+02	3.873015e+02	3.873015e+02	3.676418e+02	3.676392e+02
T0rel	4.281500e+02	4.225202e+02	3.972230e+02	3.967117e+02	3.873657e+02	3.873015e+02	3.783809e+02	3.782679e+02	3.676392e+02
p	8.268750e+02	1.383076e+02	1.383076e+02	8.096973e+01	8.096973e+01	4.672657e+01	4.672657e+01	1.933252e+01	2.500000e+01
p0	8.273594e+02	5.271538e+02	5.271538e+02	8.611059e+01	8.611059e+01	8.290742e+01	8.290742e+01	2.630596e+01	2.620055e+01
p0rel	8.273594e+02	5.271538e+02	1.659922e+02	1.388896e+02	8.611059e+01	8.290742e+01	5.185748e+01	4.659106e+01	2.620055e+01
h	4.855560e+05	4.369358e+05	4.369358e+05	4.238529e+05	4.238529e+05	4.053847e+05	4.053847e+05	3.780452e+05	3.871496e+05
h0	4.855752e+05	4.855752e+05	4.855752e+05	4.260922e+05	4.260922e+05	4.260922e+05	4.260922e+05	3.887965e+05	3.887961e+05
h0rel	4.855752e+05	4.855752e+05	4.435971e+05	4.435971e+05	4.260922e+05	4.260922e+05	4.091174e+05	4.091174e+05	3.887961e+05
d	2.530225e+01	3.793049e+00	3.793049e+00	2.227760e+00	2.227760e+00	1.306691e+00	1.306691e+00	5.576029e-01	7.128728e-01
s	1.192197e+03	1.228512e+03	1.228512e+03	1.244981e+03	1.244981e+03	1.248546e+03	1.248546e+03	1.258714e+03	1.259097e+03
Z	7.911352e-01	9.602627e-01	9.602627e-01	9.754631e-01	9.754631e-01	9.846065e-01	9.846065e-01	9.927179e-01	9.910079e-01
a	1.659125e+02	1.924345e+02	1.924345e+02	1.934287e+02	1.934287e+02	1.926808e+02	1.926808e+02	1.904946e+02	1.914033e+02
mu	1.014582e-05	8.796298e-06	8.796298e-06	8.587229e-06	8.587229e-06	8.340862e-06	8.340862e-06	7.990342e-06	8.103900e-06
v	6.186756e+00	3.118954e+02	3.118954e+02	6.692210e+01	6.692210e+01	2.035069e+02	2.035069e+02	1.466376e+02	5.738566e+01
v_t	0.000000e+00	3.071570e+02	3.071570e+02	1.732071e+01	1.732071e+01	1.853262e+02	1.853262e+02	3.599212e+00	2.346864e+00
v_m	6.186756e+00	5.416007e+01	5.416007e+01	6.464179e+01	6.464179e+01	8.407900e+01	8.407900e+01	1.465935e+02	5.733765e+01
w	6.186756e+00	3.118954e+02	1.154233e+02	1.987166e+02	6.692210e+01	2.035069e+02	8.640267e+01	2.492878e+02	5.738566e+01
w_t	0.000000e+00	3.071570e+02	1.019275e+02	-1.879088e+02	1.732071e+01	1.853262e+02	-1.990337e+01	-2.016303e+02	2.346864e+00
w_m	6.186756e+00	5.416007e+01	5.416007e+01	6.464179e+01	6.464179e+01	8.407900e+01	8.407900e+01	1.465935e+02	5.733765e+01
u	0.000000e+00	0.000000e+00	2.052295e+02	2.052295e+02	0.000000e+00	0.000000e+00	2.052295e+02	2.052295e+02	0.000000e+00
alpha	0.000000e+00	1.396263e+00	1.396263e+00	2.617994e-01	2.617994e-01	1.144885e+00	1.144885e+00	2.454740e-02	4.090776e-02
beta	0.000000e+00	1.396263e+00	1.082378e+00	-1.239471e+00	2.617994e-01	1.144885e+00	-2.324434e-01	-9.421518e-01	4.090776e-02
Ma	3.728926e-02	1.620787e+00	1.620787e+00	3.459782e-01	3.459782e-01	1.056187e+00	1.056187e+00	7.697734e-01	2.998154e-01
Ma_rel	3.728926e-02	1.620787e+00	5.998055e-01	1.027338e+00	3.459782e-01	1.056187e+00	4.484238e-01	1.308635e+00	2.998154e-01
A	1.303217e-02	9.930505e-03	9.930505e-03	1.416633e-02	1.416633e-02	1.856858e-02	1.856858e-02	2.495740e-02	5.763665e-02
H	2.266670e-02	1.727200e-02	1.727200e-02	2.463932e-02	2.463932e-02	3.229610e-02	3.229610e-02	4.340810e-02	6.642702e-02
r_m	9.150582e-02	9.150582e-02	9.150582e-02	9.150582e-02	9.150582e-02	9.150582e-02	9.150582e-02	9.150582e-02	1.380938e-01
r_h	8.017247e-02	8.286982e-02	8.286982e-02	7.918616e-02	7.918616e-02	7.535777e-02	7.535777e-02	6.980177e-02	1.093300e-01
r_t	1.028392e-01	1.001418e-01	1.001418e-01	1.038255e-01	1.038255e-01	1.076539e-01	1.076539e-01	1.132099e-01	1.668575e-01
