T	4.281297e+02	3.964042e+02	3.964042e+02	3.884502e+02	3.884502e+02	3.786055e+02	3.786055e+02	3.641557e+02	3.689911e+02
T0	4.281500e+02	4.236728e+02	4.236728e+02	3.896303e+02	3.896303e+02	3.895667e+02	3.895667e+02	3.698622e+02	3.698596e+02
T0rel	4.281500e+02	4.236728e+02	3.995438e+02	3.990527e+02	3.896303e+02	3.895667e+02	3.805759e+02	3.804650e+02	3.698596e+02
p	7.522457e+02	1.423681e+02	1.423681e+02	8.124158e+01	8.124158e+01	4.665245e+01	4.665245e+01	1.929168e+01	2.500000e+01
p0	7.527922e+02	5.049897e+02	5.049897e+02	8.638299e+01	8.638299e+01	8.313624e+01	8.313624e+01	2.631155e+01	2.620556e+01
p0rel	7.527922e+02	5.049897e+02	1.664922e+02	1.398835e+02	8.638299e+01	8.313624e+01	5.181019e+01	4.653240e+01	2.620556e+01
h	4.891653e+05	4.428025e+05	4.428025e+05	4.285467e+05	4.285467e+05	4.097986e+05	4.097986e+05	3.822847e+05	3.915206e+05
h0	4.891898e+05	4.891898e+05	4.891898e+05	4.307931e+05	4.307931e+05	4.307931e+05	4.307931e+05	3.931845e+05	3.931842e+05
h0rel	4.891898e+05	4.891898e+05	4.485566e+05	4.485566e+05	4.307931e+05	4.307931e+05	4.135786e+05	4.135786e+05	3.931842e+05
d	2.234835e+01	3.876939e+00	3.876939e+00	2.221177e+00	2.221177e+00	1.296641e+00	1.296641e+00	5.530057e-01	7.084500e-01
s	1.207958e+03	1.240685e+03	1.240685e+03	1.256784e+03	1.256784e+03	1.260389e+03	1.260389e+03	1.270593e+03	1.270978e+03
Z	8.148679e-01	9.601385e-01	9.601385e-01	9.759067e-01	9.759067e-01	9.849548e-01	9.849548e-01	9.928917e-01	9.912047e-01
a	1.710148e+02	1.930704e+02	1.930704e+02	1.940482e+02	1.940482e+02	1.932734e+02	1.932734e+02	1.910691e+02	1.919879e+02
mu	1.006402e-05	8.861538e-06	8.861538e-06	8.637313e-06	8.637313e-06	8.389002e-06	8.389002e-06	8.038632e-06	8.153099e-06
v	6.991699e+00	3.045893e+02	3.045893e+02	6.702807e+01	6.702807e+01	2.049124e+02	2.049124e+02	1.476472e+02	5.768180e+01
v_t	0.000000e+00	2.999619e+02	2.999619e+02	1.734814e+01	1.734814e+01	1.866257e+02	1.866257e+02	4.617093e+00	3.010451e+00
v_m	6.991699e+00	5.289137e+01	5.289137e+01	6.474414e+01	6.474414e+01	8.461632e+01	8.461632e+01	1.475750e+02	5.760319e+01
w	6.991699e+00	3.045893e+02	1.072763e+02	2.000492e+02	6.702807e+01	2.049124e+02	8.694896e+01	2.501757e+02	5.768180e+01
w_t	0.000000e+00	2.999619e+02	9.333113e+01	-1.892826e+02	1.734814e+01	1.866257e+02	-2.000502e+01	-2.020136e+02	3.010451e+00
w_m	6.991699e+00	5.289137e+01	5.289137e+01	6.474414e+01	6.474414e+01	8.461632e+01	8.461632e+01	1.475750e+02	5.760319e+01
u	0.000000e+00	0.000000e+00	2.066307e+02	2.066307e+02	0.000000e+00	0.000000e+00	2.066307e+02	2.066307e+02	0.000000e+00
alpha	0.000000e+00	1.396263e+00	1.396263e+00	2.617994e-01	2.617994e-01	1.145118e+00	1.145118e+00	3.127622e-02	5.221437e-02
beta	0.000000e+00	1.396263e+00	1.055217e+00	-1.241221e+00	2.617994e-01	1.145118e+00	-2.321576e-01	-9.398795e-01	5.221437e-02
Ma	4.088358e-02	1.577608e+00	1.577608e+00	3.454197e-01	3.454197e-01	1.060220e+00	1.060220e+00	7.727424e-01	3.004449e-01
Ma_rel	4.088358e-02	1.577608e+00	5.556330e-01	1.030926e+00	3.454197e-01	1.060220e+00	4.498756e-01	1.309347e+00	3.004449e-01
A	1.327191e-02	1.011319e-02	1.011319e-02	1.442043e-02	1.442043e-02	1.890114e-02	1.890114e-02	2.541087e-02	5.868388e-02
H	2.287972e-02	1.743433e-02	1.743433e-02	2.485968e-02	2.485968e-02	3.258406e-02	3.258406e-02	4.380631e-02	6.703395e-02
r_m	9.232151e-02	9.232151e-02	9.232151e-02	9.232151e-02	9.232151e-02	9.232151e-02	9.232151e-02	9.232151e-02	1.393298e-01
r_h	8.088165e-02	8.360434e-02	8.360434e-02	7.989167e-02	7.989167e-02	7.602948e-02	7.602948e-02	7.041835e-02	1.103033e-01
r_t	1.037614e-01	1.010387e-01	1.010387e-01	1.047513e-01	1.047513e-01	1.086135e-01	1.086135e-01	1.142247e-01	1.683564e-01
