u	0.000000e+00	0.000000e+00	3.967142e+02	3.967142e+02	0.000000e+00	0.000000e+00	3.967142e+02	3.967142e+02	0.000000e+00	0.000000e+00	3.967142e+02	3.967142e+02	0.000000e+00	0.000000e+00	3.967142e+02	3.967142e+02	0.000000e+00
alpha	0.000000e+00	1.396263e+00	1.396263e+00	2.615705e-01	2.615705e-01	1.361088e+00	1.361088e+00	2.616117e-01	2.616117e-01	1.312588e+00	1.312588e+00	2.616613e-01	2.616613e-01	1.244862e+00	1.244862e+00	-2.169069e-02	-2.706863e-02
beta	0.000000e+00	1.396263e+00	-2.615465e-01	-1.377426e+00	2.615705e-01	1.361088e+00	-2.615894e-01	-1.335898e+00	2.616117e-01	1.312588e+00	-2.616358e-01	-1.278335e+00	2.616613e-01	1.244862e+00	-2.617042e-01	-1.208044e+00	-2.706863e-02
Ma	7.401875e-02	6.134912e-01	6.134912e-01	1.249752e-01	1.249752e-01	6.444797e-01	6.444797e-01	1.595301e-01	1.595301e-01	6.818547e-01	6.818547e-01	2.101703e-01	2.101703e-01	7.296420e-01	7.296420e-01	3.025098e-01	1.958502e-01
Ma_rel	7.401875e-02	6.134912e-01	1.102822e-01	6.282228e-01	1.249752e-01	6.444797e-01	1.388891e-01	6.621102e-01	1.595301e-01	6.818547e-01	1.802449e-01	7.041594e-01	2.101703e-01	7.296420e-01	2.418625e-01	8.523037e-01	1.958502e-01
A	5.585235e-02	4.852797e-02	4.852797e-02	5.474280e-02	5.474280e-02	6.260377e-02	6.260377e-02	7.084900e-02	7.084900e-02	8.152746e-02	8.152746e-02	9.288429e-02	9.288429e-02	1.078417e-01	1.078417e-01	1.237399e-01	2.143238e-01
H	3.386006e-02	2.941971e-02	2.941971e-02	3.318740e-02	3.318740e-02	3.795306e-02	3.795306e-02	4.295167e-02	4.295167e-02	4.942540e-02	4.942540e-02	5.631039e-02	5.631039e-02	6.537824e-02	6.537824e-02	7.501637e-02	1.066635e-01
r_m	2.625269e-01	2.625269e-01	2.625269e-01	2.625269e-01	2.625269e-01	2.625269e-01	2.625269e-01	2.625269e-01	2.625269e-01	2.625269e-01	2.625269e-01	2.625269e-01	2.625269e-01	2.625269e-01	2.625269e-01	2.625269e-01	3.197973e-01
r_h	2.455969e-01	2.478171e-01	2.478171e-01	2.459332e-01	2.459332e-01	2.435504e-01	2.435504e-01	2.410511e-01	2.410511e-01	2.378142e-01	2.378142e-01	2.343717e-01	2.343717e-01	2.298378e-01	2.298378e-01	2.250187e-01	2.736107e-01
r_t	2.794570e-01	2.772368e-01	2.772368e-01	2.791206e-01	2.791206e-01	2.815035e-01	2.815035e-01	2.840028e-01	2.840028e-01	2.872396e-01	2.872396e-01	2.906821e-01	2.906821e-01	2.952160e-01	2.952160e-01	3.000351e-01	3.659839e-01
