Independent variables
variable	lower_bound	value	upper_bound	satisfied	active
Ma_rel		1.595301e-01	5.000000e+00	yes	yes	no
Ma_rel		6.818547e-01	5.000000e+00	yes	yes	no
Ma_rel		1.802449e-01	5.000000e+00	yes	yes	no
Ma_rel		7.041594e-01	5.000000e+00	yes	yes	no
Ma_rel		2.101703e-01	5.000000e+00	yes	yes	no
Ma_rel		7.296420e-01	5.000000e+00	yes	yes	no
Ma_rel		2.418625e-01	5.000000e+00	yes	yes	no
Ma_rel		8.523037e-01	5.000000e+00	yes	yes	no
Ma_rel		1.958502e-01	5.000000e+00	yes	yes	no
Ma_diffuser		3.024386e-01	9.500000e-01	yes	yes	no
beta_in_stator		0.000000e+00	2.617994e-01	yes	yes	no
beta_in_stator		2.615705e-01	2.617994e-01	yes	yes	yes
beta_in_stator		2.616117e-01	2.617994e-01	yes	yes	yes
beta_in_stator		2.616613e-01	2.617994e-01	yes	yes	yes
beta_in_rotor	-2.617994e-01	-2.615465e-01		yes	yes	yes
beta_in_rotor	-2.617994e-01	-2.615894e-01		yes	yes	yes
beta_in_rotor	-2.617994e-01	-2.616358e-01		yes	yes	yes
beta_in_rotor	-2.617994e-01	-2.617042e-01		yes	yes	yes
height	1.000000e-02	3.163988e-02		no		
height	1.000000e-02	3.130356e-02		no		
height	1.000000e-02	3.557023e-02		no		
height	1.000000e-02	4.045236e-02		no		
height	1.000000e-02	4.618853e-02		no		
height	1.000000e-02	5.286789e-02		no		
height	1.000000e-02	6.084431e-02		no		
height	1.000000e-02	7.019730e-02		no		
chord	1.000000e-02	1.646900e-02		no		
chord	1.000000e-02	1.565375e-02		no		
chord	1.000000e-02	1.964235e-02		no		
chord	1.000000e-02	2.032045e-02		no		
chord	1.000000e-02	2.603038e-02		no		
chord	1.000000e-02	2.719959e-02		no		
chord	1.000000e-02	3.529778e-02		no		
chord	1.000000e-02	3.688833e-02		no		
RPM	3.000000e+03	1.443030e+04	3.000000e+03	no		


Optimization algorithm output
exitflag	iterations	function_count	con_violation	stepsize
-1	59	2655	2.615952e-04	1.511761e-01

